pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
596001,L,1,64,2,16,89.840625,"Crawford, Justin",L,79,0.03125,0.25,0.810126582278481,0.01820253164556962,0.027325799929290656,0.262
596117,L,0,8,0,3,96.92,"Butler, Lawrence",L,8,0.0,0.375,1.0,0.006749999999999999,0.029556027433140772,0.043
596133,L,2,61,4,11,90.76206896551724,"Reynolds, Bryan",L,91,0.06557377049180328,0.18032786885245902,0.6703296703296703,0.027450549450549446,0.029780152173916934,0.253
601713,L,0,19,1,2,89.81666666666666,"Carpenter, Kerry",L,35,0.05263157894736842,0.10526315789473684,0.5428571428571428,0.01745714285714285,0.029317682772443114,0.095
605130,L,3,44,4,7,93.4074074074074,"Varsho, Daulton",L,70,0.09090909090909091,0.1590909090909091,0.6285714285714286,0.03465714285714286,0.031372533228324784,0.196
605135,L,6,116,8,17,92.55,"Smith, Josh",L,158,0.06896551724137931,0.14655172413793102,0.7341772151898734,0.031050632911392404,0.030758130321459406,0.392
605154,L,2,15,2,2,89.92,"Reynolds, Bryan",L,16,0.13333333333333333,0.13333333333333333,0.9375,0.074125,0.03392004183297674,0.077
605156,L,1,2,1,0,98.5,"Varsho, Daulton",L,2,0.5,0.0,1.0,0.2875,0.033393039326541016,0.011
605218,L,0,3,0,0,97.25,"Julien, Edouard",L,12,0.0,0.0,0.25,0.0,0.03006848719907358,0.016
605280,L,2,92,5,11,94.86388888888888,"Gorman, Nolan",L,126,0.05434782608695652,0.11956521739130435,0.7301587301587301,0.024388888888888884,0.028479084320618537,0.338
605288,L,12,173,19,27,95.34725274725275,"Sheets, Gavin",L,244,0.10982658959537572,0.15606936416184972,0.7090163934426229,0.04676639344262294,0.03850741989519613,0.49
605335,L,2,14,3,2,89.82,"Isbel, Kyle",L,17,0.21428571428571427,0.14285714285714285,0.8235294117647058,0.10358823529411762,0.035839012636845934,0.072
605400,L,18,220,22,40,95.499173553719,"Seager, Corey",L,326,0.1,0.18181818181818182,0.6748466257668712,0.04101226993865031,0.036313081359833826,0.55
