batter,p_throws,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
683357,L,0,19,1,1,93.46666666666665,"Caissie, Owen",L,41,0.05263157894736842,0.05263157894736842,0.4634146341463415,0.01446341463414634,0.024929433256337136,0.241
683679,L,0,13,0,1,91.92,"Rodriguez, Jesus",R,17,0.0,0.07692307692307693,0.7647058823529411,0.0010588235294117646,0.023402535001153506,0.178
683734,L,2,92,6,11,93.60851063829789,"Vaughn, Andrew",R,125,0.06521739130434782,0.11956521739130435,0.736,0.029184,0.0288128180868543,0.605
683737,L,6,121,13,18,92.4671875,"Busch, Michael",L,191,0.10743801652892562,0.1487603305785124,0.6335078534031413,0.040832460732984285,0.036659381756314655,0.669
683748,L,1,37,1,1,90.89375,"Mesa Jr., Victor",L,46,0.02702702702702703,0.02702702702702703,0.8043478260869565,0.012891304347826087,0.02238761453681875,0.381
683766,L,4,34,3,4,91.22142857142856,"Koss, Christian",R,45,0.08823529411764706,0.11764705882352941,0.7555555555555555,0.039933333333333335,0.03247184768654454,0.362
683953,L,1,84,4,4,89.98387096774194,"Bazzana, Travis",L,136,0.047619047619047616,0.047619047619047616,0.6176470588235294,0.017441176470588234,0.02194221647730045,0.583
685133,L,0,26,0,3,89.27777777777777,"Meckler, Wade",L,38,0.0,0.11538461538461539,0.6842105263157895,0.0014210526315789475,0.020134508344452396,0.302
686217,L,1,73,1,7,87.384375,"Frelick, Sal",L,91,0.0136986301369863,0.0958904109589041,0.8021978021978022,0.007703296703296702,0.016969631643176785,0.549
686452,L,0,7,0,2,89.8,"Millas, Drew",R,20,0.0,0.2857142857142857,0.35,0.0017999999999999997,0.02548090073435602,0.104
686469,L,1,80,4,17,91.57619047619048,"Pasquantino, Vinnie",L,116,0.05,0.2125,0.6896551724137931,0.022465517241379313,0.024941869489372846,0.571
686475,L,1,54,0,6,86.25909090909092,"Tolbert, Tyler",R,76,0.0,0.1111111111111111,0.7105263157894737,0.001421052631578947,0.015538220976378218,0.474
686527,L,4,69,6,10,97.12068965517241,"Canzone, Dominic",L,112,0.08695652173913043,0.14492753623188406,0.6160714285714286,0.032410714285714286,0.030472555309427433,0.535
686554,L,0,3,0,0,,"Dunn, Oliver",L,4,0.0,0.0,0.75,0.0,0.026898735701616716,0.048
686555,L,2,99,6,14,88.84,"Collins, Isaac",R,143,0.06060606060606061,0.1414141414141414,0.6923076923076923,0.025888111888111884,0.026777002680031005,0.623
686611,L,6,80,10,9,92.53191489361703,"Crews, Dylan",R,121,0.125,0.1125,0.6611570247933884,0.048859504132231404,0.040024147712716895,0.571
686668,L,2,47,5,4,93.01818181818182,"Doyle, Brenton",R,77,0.10638297872340426,0.0851063829787234,0.6103896103896104,0.038272727272727264,0.0326489582338321,0.439
686681,L,3,62,4,11,90.57241379310345,"Massey, Michael",L,87,0.06451612903225806,0.1774193548387097,0.7126436781609196,0.02871264367816092,0.028482002108588773,0.508
686765,L,2,30,3,5,95.50666666666666,"Sogard, Nick",R,46,0.1,0.16666666666666666,0.6521739130434783,0.03945652173913043,0.03198128890417518,0.333
686780,L,0,55,1,6,94.87777777777777,"Pagés, Pedro",R,90,0.01818181818181818,0.10909090909090909,0.6111111111111112,0.007588888888888888,0.018365297722528193,0.478
686797,L,3,125,5,24,91.96615384615384,"Lee, Brooks",R,182,0.04,0.192,0.6868131868131868,0.01817032967032967,0.02143735977293547,0.676
686823,L,0,2,0,0,78.35,"Brennan, Will",L,2,0.0,0.0,1.0,0.0,0.027332586277449247,0.032
686894,L,3,22,4,1,98.93636363636364,"Wiemer, Joey",R,44,0.18181818181818182,0.045454545454545456,0.5,0.05268181818181818,0.03480024816099821,0.268
686948,L,7,142,12,10,96.50701754385965,"Baldwin, Drake",L,201,0.08450704225352113,0.07042253521126761,0.7064676616915423,0.03522388059701492,0.0331505514553365,0.703
687093,L,1,114,6,17,92.10689655172413,"Grissom, Vaughn",R,155,0.05263157894736842,0.14912280701754385,0.7354838709677419,0.024232258064516125,0.02561550441699248,0.655
687221,L,1,40,3,9,93.78695652173913,"Rushing, Dalton",L,66,0.075,0.225,0.6060606060606061,0.028590909090909087,0.02838256712838217,0.4
687231,L,1,41,0,2,84.67619047619048,"Hernaiz, Darell",R,58,0.0,0.04878048780487805,0.7068965517241379,0.0006206896551724137,0.017030382426375466,0.406
687263,L,8,113,14,27,94.75070422535211,"Neto, Zach",R,175,0.12389380530973451,0.23893805309734514,0.6457142857142857,0.04877714285714285,0.041655708046583785,0.653
687282,L,0,4,0,0,87.9,"Rincones Jr., Gabriel",L,5,0.0,0.0,0.8,0.0,0.026478442956278957,0.062
687363,L,1,45,0,4,86.825,"Scott II, Victor",L,59,0.0,0.08888888888888889,0.7627118644067796,0.0012203389830508474,0.016662243842277536,0.429
687394,L,0,0,0,0,,"Brannigan, Jack",R,1,0.0,0.0,0.0,0.0,0.028243672486697555,0.0
687401,L,2,95,4,10,94.63250000000001,"Ortiz, Joey",R,136,0.042105263157894736,0.10526315789473684,0.6985294117647058,0.018235294117647054,0.022109505099214992,0.613
687462,L,1,56,2,4,88.33478260869565,"Horwitz, Spencer",L,83,0.03571428571428571,0.07142857142857142,0.6746987951807228,0.014722891566265058,0.021716398938902554,0.483
687515,L,4,69,7,8,93.08974358974359,"Thomas, Colby",R,104,0.10144927536231885,0.11594202898550725,0.6634615384615384,0.04008653846153846,0.034578228705798505,0.535
687529,L,0,11,0,1,91.13333333333334,"McCray, Grant",L,20,0.0,0.09090909090909091,0.55,0.0009000000000000001,0.024007328861997933,0.155
687551,L,0,28,0,3,84.7,"Gilbert, Drew",L,46,0.0,0.10714285714285714,0.6086956521739131,0.0011739130434782609,0.0196305672093096,0.318
687597,L,1,45,1,9,87.53448275862068,"Beck, Jordan",R,79,0.022222222222222223,0.2,0.569620253164557,0.009329113924050633,0.020137433102706017,0.429
687605,L,1,8,1,1,95.08,"Pinckney, Andrew",R,12,0.125,0.125,0.6666666666666666,0.049416666666666664,0.030734612978458625,0.118
